Grid_Ref	longitude	latitude	Rainforest.P	Residential.P	Fruit.P	Other.P	Total_Road	Sightings	Strikes	Residential.01	Fruit.01	Dresid	Dfruit
E16	389500	8022500	0.000535973	0.0946563	0	0.904808	2.032474	1	1	1	0	236.85902445	1126.13183368
E18	389500	8020500	0.0358848	0.0381778	0	0.925937	0.861051	0	0	1	0	449.608170605	1819.80293785
E19	389500	8019500	0.0561992	0	0	0.943801	1.448972	1	0	0	0	1070.58423027	1760.60115942
E20	389500	8018500	0.0350946	0	0	0.964905	0.510765	0	0	0	0	1090.3279502	2141.19940454
E26	389500	8012500	0.0424776	0.0190041	0	0.938518	1.005237	0	0	1	0	379.437173382	707.771773389
E27	389500	8011500	0.0509391	0	0.0458847	0.903176	1.01976	0	0	0	1	926.125525876	409.422657018
E28	389500	8010500	0	0	0	1	1.341131	0	0	0	0	958.744687124	614.931321764
E29	389500	8009500	0.0112249	0.0716927	0	0.917082	1.669499	0	0	1	0	150.484882708	1336.6967858
F01	390500	8037500	0.475934	0	0	0.524066	1.24394	0	0	0	0	3522.38853399	2439.39369347
F02	390500	8036500	0.152913	0	0	0.847087	0.255343	0	0	0	0	3948.47983729	2139.2691614
F04	390500	8034500	0.0442354	0	0	0.955765	0.441998	0	0	0	0	4962.65847973	1531.94570276
F05	390500	8033500	0.512717	0	0	0.487283	1.287571	0	0	0	0	4405.71331763	2007.69739165
F14	390500	8024500	0.380081	0.129796	0	0.490123	0.821066	0	0	1	0	169.713757903	753.615347685
F15	390500	8023500	0	0	0	1	0.253555	0	0	0	0	641.763864645	850.561345925
F16	390500	8022500	0	0.113169	0	0.886832	1.32434	0	0	1	0	192.531044855	1656.99392366
F17	390500	8021500	0	0	0	1	1.18379	0	0	0	0	739.43239067	1745.81441436
F18	390500	8020500	0.0385617	0.0200666	0	0.941372	0.374302	0	0	1	0	452.578354151	931.915205659
F19	390500	8019500	0.0981097	0.0452279	0	0.856662	0.730733	3	1	1	0	426.394326819	794.541468849
F20	390500	8018500	0.412747	0.0104068	0	0.576846	0.288451	4	0	1	0	388.886727423	1295.80673989
F25	390500	8013500	0.870653	0	0	0.129347	0.688918	0	0	0	0	724.973580954	712.18140231
F26	390500	8012500	0.0495776	0.0102355	0.110627	0.82956	0.459465	0	0	1	1	426.685957578	20.9000141756
F27	390500	8011500	0	0	0.122907	0.877093	1.04943	0	0	0	1	1331.39438994	58.3624694383
F28	390500	8010500	0.000237742	0	0.0967726	0.90299	1.302586	0	0	0	1	1041.17801327	129.35797444
F29	390500	8009500	0.00736027	0.035442	0.0000837827	0.957114	1.087357	0	0	1	1	313.943282883	552.464666039
F30	390500	8008500	0.0923878	0	0	0.907612	0.0163702	0	0	0	0	873.924186362	1509.94602168
G02	391500	8036500	0.00939737	0	0	0.990603	1.731176	0	0	0	0	3145.24521163	1609.74133519
G03	391500	8035500	0	0	0	1	1.0059925	0	0	0	0	3837.74680736	725.418673449
G04	391500	8034500	0.0145576	0	0.000895094	0.984547	1.21615	0	0	0	1	4229.83913867	600.241567177
G14	391500	8024500	0.368133	0.0371999	0	0.594667	1.32465	0	0	1	0	426.87722895	1243.03310649
G15	391500	8023500	0.016066	0.0369688	0	0.946965	1.70534648	2	0	1	0	311.808010307	1743.99903409
G16	391500	8022500	0	0.0298229	0	0.970177	1.943467	0	0	1	0	343.395321443	1983.52864193
G19	391500	8019500	0.0545015	0.186529	0.290603	0.468367	1.06816	3	0	1	1	71.3236921575	0
G25	391500	8013500	0.754554	0	0	0.245446	0.819332	0	0	0	0	1447.06506689	1135.15634307
G26	391500	8012500	0	0	0	1	0.797437	0	0	0	0	1326.69126094	802.369606615
